Fid,Latitude,Langitude,Fdate,Wind_Speed,First_Indicator,RAIN,Second_Indicator,Max_Temp,Third_Indicator,Min_temp,Min_grass_temp,results
172.217.3.106-10.42.0.211-443-38359-6,41.21392475,-73.07455891,07-05-21,18.21,0,2.3,0.0,13.3,0.0,6.8,4.6,0
172.217.12.142-10.42.0.151-443-53954-6,41.33516285,-72.91868254,08-05-21,18.58,0,0.0,0.0,15.0,0.0,7.2,5.5,0
173.194.206.100-10.42.0.151-443-34528-6,41.24912209,-73.07764377,09-05-21,7.25,0,0.0,0.0,16.7,0.0,5.4,2.7,1
239.255.255.250-10.42.0.1-1900-36624-17,41.54572111,-73.06711845,10-05-21,3.33,0,0.0,0.0,17.1,0.0,2.1,-1.0,1
216.58.217.99-10.42.0.151-80-42366-6,41.45463302,-72.80957681,11-05-21,3.67,0,0.0,0.0,19.7,0.0,2.2,0.3,1
10.42.0.211-54.230.36.66-45869-443-6,41.387587200000006,-72.87436888,12-05-21,5.17,0,0.0,0.0,19.8,0.0,6.5,1.4,1
10.42.0.211-64.71.142.120-37388-443-6,41.32718957,-72.92054672,13-05-21,5.21,0,0.2,0.0,22.1,0.0,5.1,0.1,1
140.205.134.25-10.42.0.211-443-34064-6,41.45023379,-72.82373361,14-05-21,10.04,0,1.4,0.0,15.7,0.0,10.2,6.6,0
198.105.244.11-10.42.0.211-80-40832-6,41.53115312,-73.06494264,15-05-21,5.91,0,0.0,0.0,14.7,0.0,9.0,8.5,1
172.217.11.14-10.42.0.151-443-46928-6,41.3246708,-72.91212373,16-05-21,8.38,0,0.0,0.0,13.1,0.0,8.8,4.6,1
10.42.0.211-103.7.30.118-39134-80-6,41.53237522,-72.67581659,17-05-21,5.83,0,0.0,0.0,13.4,0.0,3.0,-0.4,1
10.42.0.151-36.110.213.49-37851-80-6,41.22662449,-73.01301666,18-05-21,5.04,0,0.0,0.0,12.7,0.0,4.3,-1.2,1
10.42.0.211-87.240.165.80-43858-80-6,41.60662259,-72.69615033,19-05-21,6.83,0,0.0,0.0,14.6,0.0,5.0,0.5,1
10.42.0.151-104.244.43.227-44721-443-6,41.36890324,-72.93195545,20-05-21,4.71,0,0.0,0.0,14.7,0.0,9.0,7.2,1
10.42.0.151-119.146.74.49-40037-443-6,41.55172463,-73.03800938,21-05-21,3.17,0,0.0,0.0,15.2,0.0,3.4,-0.7,1
10.42.0.211-108.168.177.2-37439-443-6,41.36685358,-72.93157023,22-05-21,2.42,0,0.0,0.0,14.4,0.0,6.2,1.1,1
172.217.10.227-10.42.0.42-80-44283-6,41.30439389,-72.7554416,23-05-21,3.13,0,0.0,0.0,14.5,0.0,9.4,8.7,1
172.217.10.97-10.42.0.151-443-40870-6,41.49259274,-73.05508336,24-05-21,4.0,0,0.2,0.0,14.6,0.0,10.4,10.0,1
172.217.6.196-10.42.0.211-443-34291-6,41.29164381,-72.37811645,25-05-21,6.79,0,1.6,0.0,12.7,0.0,8.1,8.4,1
10.42.0.42-31.13.69.229-47199-443-6,41.53868295,-72.80807815,26-05-21,9.33,0,0.0,0.0,10.6,0.0,4.6,2.2,1
10.42.0.211-104.97.95.172-45822-80-6,41.29802527,-72.93133714,27-05-21,4.92,0,0.0,0.0,12.5,0.0,3.2,-1.2,1
10.42.0.211-106.11.94.6-39456-443-6,41.55368974,-73.03577874,28-05-21,5.41,0,0.0,0.0,14.0,0.0,1.0,-2.8,1
172.217.6.202-10.42.0.151-443-59063-6,41.32746266,-73.08914193,29-05-21,11.71,0,1.8,0.0,13.3,0.0,9.2,7.5,0
10.42.0.211-119.146.74.34-44837-80-6,41.34611312,-72.90276088,30-05-21,5.83,0,0.0,0.0,14.2,0.0,10.0,8.1,1
10.42.0.211-10.42.0.1-64369-53-17,41.33208246,-72.91368852,31-05-21,6.58,0,0.0,0.0,17.0,0.0,7.8,3.3,1
10.42.0.211-121.12.98.85-59747-80-6,41.50049342,-72.89901472,01-06-21,9.75,0,0.0,0.0,17.0,0.0,5.0,3.2,1
10.42.0.42-76.13.28.70-51599-443-6,41.31846979,-72.35949013,02-06-21,7.92,0,0.0,0.0,17.8,0.0,10.5,10.1,1
10.42.0.211-10.42.0.1-29781-53-17,41.50838095,-72.68755739,03-06-21,10.41,0,0.0,0.0,18.7,0.0,11.7,10.8,0
10.42.0.151-121.12.98.78-58854-80-6,41.52692555,-73.12331152,04-06-21,6.21,0,0.0,0.0,20.8,0.0,11.3,10.5,1
10.42.0.211-104.244.43.131-54626-443-6,41.35164069,-72.91391949999999,05-06-21,3.42,0,9.4,2.0,17.0,0.0,12.7,11.7,1
175.100.207.206-10.42.0.211-80-37555-6,41.53263308,-72.6206306,06-06-21,4.21,0,0.3,0.0,16.7,0.0,11.5,10.6,1
10.42.0.211-104.97.95.172-45862-80-6,30.08533768,-94.10451563,07-06-21,8.17,0,4.8,0.0,17.7,0.0,8.8,6.6,1
140.205.134.25-10.42.0.211-443-33595-6,32.642427000000005,-97.445036,08-06-21,9.54,0,0.7,0.0,15.5,0.0,7.6,6.1,1
172.217.9.238-10.42.0.151-443-42588-6,33.558609999999994,-101.84412809999999,09-06-21,8.29,0,1.8,0.0,17.2,0.0,6.1,4.4,1
10.42.0.211-120.55.89.238-52786-8977-6,32.793310999999996,-96.72290699999999,10-06-21,9.71,0,1.6,0.0,15.7,0.0,10.4,9.6,1
10.42.0.211-123.125.29.138-46655-80-6,41.61584935,-72.08832446,11-06-21,6.25,0,3.6,0.0,16.6,0.0,9.0,8.4,1
203.205.158.60-10.42.0.151-80-45847-6,41.30386048,-72.90269024,12-06-21,9.17,0,1.0,0.0,13.6,0.0,10.5,9.0,1
172.217.12.129-10.42.0.211-443-43132-6,41.31761913,-72.97311828,13-06-21,4.67,0,0.2,0.0,18.0,0.0,6.2,3.2,1
203.205.158.60-10.42.0.211-80-41159-6,41.52975922,-72.10292744,14-06-21,5.66,0,1.2,0.0,18.8,0.0,6.4,2.2,1
10.42.0.211-64.71.142.95-55965-443-6,41.42814214,-71.84378208,15-06-21,8.25,0,0.1,0.0,18.8,0.0,13.1,10.4,1
172.217.12.170-10.42.0.42-443-40231-6,41.28789549,-72.96088163,16-06-21,10.54,0,0.2,0.0,19.6,0.0,7.7,4.7,0
10.42.0.211-104.192.110.245-59861-443-6,41.25367559,-72.97370107,17-06-21,12.96,0,0.8,0.0,20.0,0.0,15.0,14.4,0
10.42.0.211-10.42.0.1-5675-53-17,41.36634214,-71.89463378,18-06-21,13.7,0,0.0,0.0,17.6,0.0,9.5,7.2,0
172.217.12.138-10.42.0.211-443-44307-6,41.56755503,-72.05495051,19-06-21,10.37,0,0.0,0.0,17.3,0.0,8.7,6.4,0
172.217.10.232-10.42.0.211-443-40132-6,41.32727242,-72.10170418,20-06-21,7.92,0,0.0,0.0,16.6,0.0,8.7,8.7,1
172.217.12.164-10.42.0.211-80-59706-6,41.46949447,-72.09932262,21-06-21,10.54,0,1.6,0.0,19.4,0.0,7.2,2.1,0
10.42.0.151-72.21.206.140-39692-443-6,41.615758500000005,-72.08924129,22-06-21,13.29,0,0.0,0.0,18.5,0.0,11.6,11.5,0
10.42.0.211-23.194.140.226-48051-80-6,41.34449102,-72.10631061,23-06-21,14.21,0,0.0,0.0,22.4,0.0,11.6,9.4,0
10.42.0.1-10.42.0.42-53-16985-17,41.274299799999994,-72.94578742,24-06-21,14.88,0,0.0,0.0,23.0,0.0,11.5,6.7,0
10.42.0.151-10.42.0.1-18309-53-17,41.22634375,-73.04778157,25-06-21,11.87,0,2.8,0.0,21.6,0.0,12.1,11.4,0
10.42.0.211-64.71.142.124-46970-443-6,41.38043115,-71.83719939,26-06-21,8.38,0,0.0,0.0,15.2,0.0,11.6,11.5,1
10.42.0.211-104.79.152.104-44335-443-6,41.53148445,-72.07743256,27-06-21,10.54,0,0.0,0.0,16.7,0.0,6.1,3.5,0
10.42.0.211-10.42.0.1-59401-53-17,41.35789277,-72.9093985,28-06-21,8.79,0,0.0,0.0,19.5,0.0,8.1,2.4,1
10.42.0.211-104.193.88.109-46254-80-6,41.34601116,-72.04715291,29-06-21,8.33,0,0.0,0.0,22.2,0.0,11.1,8.5,1
172.217.9.238-10.42.0.151-443-52615-6,41.32513532,-72.6353568,30-06-21,4.92,0,0.0,0.0,23.4,0.0,11.6,9.0,1
174.36.210.51-10.42.0.211-5222-58655-6,41.28871412,-73.0532625,01-07-21,6.71,0,0.0,0.0,19.4,0.0,15.5,14.4,1
10.42.0.211-10.42.0.1-64468-53-17,41.37630371,-72.1035658,02-07-21,5.83,0,0.0,0.0,20.1,0.0,12.1,11.5,1
10.42.0.151-104.192.110.245-40412-80-6,29.673552,-95.33299026,03-07-21,15.75,0,0.6,0.0,18.3,0.0,9.5,7.2,0
216.58.219.227-10.42.0.151-443-41497-6,29.26488326,-94.83879029,04-07-21,14.92,0,0.0,0.0,18.2,0.0,10.6,9.8,0
